分类目录;机型;储藏条件;商品编号;商品名称（简称）;通用名（注册证名称）;单位;规格;注册证号/备案凭证号;批准文号有效期至;厂商全名
血液分析系统;XT系列;2℃-35℃;98417216;STR-4DS;染色液;袋;42ml;国食药监械(进)字2013第1400282号;2017-1-17;希森美康株式会社
血液分析系统;XT系列;常温;ZG900002;STR-FB;全自动血液分析仪用溶血剂;桶;5L;苏锡食药监械(准)字2013第1400005号;2017-2-19;希森美康生物科技（无锡）有限公司
血液分析系统;XT系列;2℃-35℃;98416211;RED-700A;网织红细胞染液试剂盒;盒;1L/12ml;国食药监械(进)字2012第1400274号;2016-1-31;希森美康株式会社
血液分析系统;XT系列;1℃-30℃;83401621;CC;清洗液;瓶;50ml;非医疗器械;2050-12-31;希森美康株式会社
血液分析系统;XT系列;2℃-8℃;06442011;e-CHECK(XE) L1;质控品;瓶;4.5ml;国食药监（进）字2013第2400717号;2017-2-6;希森美康株式会社
血液分析系统;XT系列;2℃-8℃;06442119;e-CHECK(XE) L2;质控品;瓶;4.5ml;国食药监（进）字2013第2400717号;2017-2-6;希森美康株式会社
血液分析系统;XT系列;2℃-8℃;06442116;e-CHECK(XE) L3;质控品;瓶;4.5ml;国食药监（进）字2013第2400717号;2017-2-6;希森美康株式会社
血液分析系统;XT系列;2℃-8℃;017407314;SCS-1000;血细胞分析仪用校准品;瓶;2.0ml;国食药监械（进）字2013第2400722号;2017-2-6;希森美康株式会社
血液分析系统;XE系列;2℃-35℃;88408711;CP;血细胞分析用稀释液;桶;20L;鲁济械备20140126号;2050-12-31;济南希森美康医用电子有限公司
血液分析系统;XE系列;2℃-35℃;S01000;POC-CP;血细胞分析用稀释液;桶;20L;鲁济械备20140128号;2050-12-31;济南希森美康医用电子有限公司
血液分析系统;XE系列;2℃-35℃;83400324;CELLSHEATH;鞘液;桶;20L;鲁济食药监械(准)字2014第1400076号;2018-5-27;济南希森美康医用电子有限公司
血液分析系统;XE系列;2℃-30℃;90411317;SLS-210A;血红蛋白检测试剂;瓶;500ml;国食药监械(进)字2012第2402833号;2016-8-9;希森美康株式会社
血液分析系统;XE系列;2℃-30℃;90411414;SLS-220A;血红蛋白检测试剂;桶;5L;国食药监械(进)字2012第2402833号;2016-8-9;希森美康株式会社
血液分析系统;XE系列;2℃-35℃;05433212;STR-4DL   XS;溶血剂;盒;2L;国食药监械(进)字2013第1400283号;2017-1-19;希森美康株式会社
血液分析系统;XE系列;2℃-35℃;ZG900003;STR-4DL;全自动血液分析仪用溶血剂;桶;5L;苏锡食药监械(准)字2013第1400006号;2017-2-21;希森美康生物科技（无锡）有限公司
血液分析系统;XE系列;2℃-35℃;98417216;STR-4DS;染色液;袋;42ml;国食药监械(进)字2013第1400282号;2017-1-17;希森美康株式会社
血液分析系统;XE系列;常温;ZG900002;STR-FB;全自动血液分析仪用溶血剂;桶;5L;苏锡食药监械(准)字2013第1400005号;2017-2-19;希森美康生物科技（无锡）有限公司
血液分析系统;XE系列;2℃-35℃;98416211;RED-700A;网织红细胞染液试剂盒;盒;1L/12ml;国食药监械(进)字2012第1400274号;2016-1-31;希森美康株式会社
血液分析系统;XE系列;2℃-35℃;98416717;STR-NR;有核红细胞染液试剂盒;盒;1L/12ml;国食药监械(进)字2012第1401165号;2016-3-30;希森美康株式会社
血液分析系统;XE系列;30℃以下;93403213;STR-IM;溶血剂;桶;10L;国食药监械(进)字2012第1401052号;2016-3-29;希森美康株式会社
血液分析系统;XE系列;1℃-30℃;83401621;CC;清洗液;瓶;50ml;非医疗器械;2050-12-31;希森美康株式会社
血液分析系统;XE系列;2℃-8℃;06442011;e-CHECK(XE) L1;质控品;瓶;4.5ml;国食药监（进）字2013第2400717号;2017-2-6;希森美康株式会社
血液分析系统;XE系列;2℃-8℃;06442119;e-CHECK(XE) L2;质控品;瓶;4.5ml;国食药监（进）字2013第2400717号;2017-2-6;希森美康株式会社
血液分析系统;XE系列;2℃-8℃;06442116;e-CHECK(XE) L3;质控品;瓶;4.5ml;国食药监（进）字2013第2400717号;2017-2-6;希森美康株式会社
血液分析系统;XE系列;2℃-8℃;017407314;SCS-1000;血细胞分析仪用校准品;瓶;2.0ml;国食药监械（进）字2013第2400722号;2017-2-6;希森美康株式会社
血液分析系统;XN系列;2℃-35℃;ZG801004;CP  DCL;血细胞分析用稀释液;桶;20L;鲁济械备20150146号;2050-12-31;济南希森美康医用电子有限公司
血液分析系统;XN系列;2℃-35℃;BQ505775;CP DST;浓缩稀释液;瓶;10L;国食药监械（进）字2012第1402106;2016-6-11;济南希森美康医用电子有限公司
血液分析系统;XN系列;2℃-30℃;BJ350971;SLS-240A;血红蛋白检测试剂;盒;1.5L;国食药监械(进)字2012第2402833号;2016-8-9;希森美康株式会社
血液分析系统;XN系列;2℃-35℃;AW993605;L-WDF;溶血剂;盒;4L;国食药监械(进)字2012第1402109号;2016-6-11;希森美康株式会社
血液分析系统;XN系列;2℃-35℃;AN577063;L-WNR;溶血剂;盒;4L;国食药监械(进)字2012第1402105号;2016-6-11;希森美康株式会社
血液分析系统;XN系列;2℃-35℃;CS412800;L-WPC;溶血剂;盒;1.5L;国食药监械(进)字2012第1402112号;2016-6-11;希森美康株式会社
血液分析系统;XN系列;2℃-35℃;CV377552;F-WDF;白细胞分类用染色液;盒;42mL;国食药监械(进)字2012第1402108号;2016-6-11;希森美康株式会社
血液分析系统;XN系列;2℃-35℃;CP066715;F-WNR;白细胞计数用染色液;盒;82mL;国食药监械(进)字2012第1402111号;2016-6-11;希森美康株式会社
血液分析系统;XN系列;2℃-35℃;BU306227;F-WPC;未成熟细胞检测用染色液;盒;12mL;国食药监械(进)字2012第1402104号;2016-6-11;希森美康株式会社
血液分析系统;XN系列;2℃-35℃;BN337547;F-RET;网织红细胞计数用染色液;盒;12mL;国食药监械(进)字2012第1402113号;2016-6-11;希森美康株式会社
血液分析系统;XN系列;2℃-35℃;CD994563;F-PLT;血小板计数用染色液;盒;12mL;国食药监械(进)字2012第1402107号;2016-6-11;希森美康株式会社
血液分析系统;XN系列;2℃-35℃;BT965910;CP  DFL;稀释液;盒;1.5L;国食药监械(进)字2012第1402110号;2016-6-11;希森美康株式会社
血液分析系统;XN系列;2℃-35℃;CF579595;CC-AUTO;清洗液;盒;4ml×20;非医疗器械;2050-12-31;希森美康株式会社
血液分析系统;XN系列;2℃-8℃;BV661822;XN CHECK L1;血液分析仪用质控品 L1;瓶;3.0ml;国食药监械(进)字2012第2402351号;2016-6-11;希森美康株式会社
血液分析系统;XN系列;2℃-8℃;AK060533;XN CHECK L2;血液分析仪用质控品 L2;瓶;3.0ml;国食药监械(进)字2012第2402351号;2016-6-11;希森美康株式会社
血液分析系统;XN系列;2℃-8℃;BR875289;XN CHECK L3;血液分析仪用质控品 L3;瓶;3.0ml;国食药监械(进)字2012第2402351号;2016-6-11;希森美康株式会社
血液分析系统;XN系列;2℃-8℃;BY698063;XN CHECK BF;血液分析仪用质控品;盒;3.0ml×2;国食药监械(进)字2012第2402116号;2016-6-11;希森美康株式会社
血液分析系统;XN系列;2℃-8℃;AE344243;XN CAL;血液分析仪用校准品;瓶;3.0ml;国食药监械(进)字2012第2402114号;2016-6-11;希森美康株式会社
血液分析系统;XN系列;2℃-8℃;CY301935;XN CAL PF;血液分析仪用校准品;瓶;3.0ml;国食药监械(进)字2012第2402115号;2016-6-11;希森美康株式会社
血液分析系统;SP系列;常温;02403118;显微镜载玻片;显微镜载玻片;盒;3000片/盒;非医疗器械;;希森美康株式会社
血液分析系统;SP系列;5℃-30℃;BA4017C;贝索染液（BASO）A液;染色液;桶;5L;粤珠食药监械(准)字2013第1400066号;43063;珠海贝索生物技术有限公司
血液分析系统;SP系列;5℃-30℃;BA4017D;贝索染液（BASO）B液;染色液;桶;5L;粤珠食药监械(准)字2013第1400066号;43063;珠海贝索生物技术有限公司
尿液分析系统;UF系列;2℃-35℃;AK408671;UF II SHEATH;尿液分析用鞘液;桶;20L;鲁济械备20150145号;2050-11-29;济南希森美康医用电子有限公司
尿液分析系统;UF系列;2℃-35℃;06426211;PACK-SED;尿有形成份检测稀释液;瓶;2.1L;国械备20151697号;2050-12-31;希森美康株式会社
尿液分析系统;UF系列;2℃-35℃;06426318;PACK-BAC;尿有形成份检测稀释液;瓶;2.1L;国械备20151695号;2050-12-31;希森美康株式会社
尿液分析系统;UF系列;2℃-35℃;06426415;SEARCH-SED;尿液分析用染色液;袋;29ml;国械备20140248;2050-12-31;希森美康株式会社
尿液分析系统;UF系列;2℃-35℃;06426512;SEARCH-BAC;尿液分析用染色液;袋;25ml;国械备20140249;2050-12-31;希森美康株式会社
尿液分析系统;UF系列;2℃-10℃;06404115;UF II CONTROL;尿有形成份检测质控品 UF II CONTROL;盒;47ml*2;国械注进20152400353;2020-1-25;希森美康株式会社
尿液分析系统;UF系列;2℃-10℃;06404310;UF  CALIBRATOR;全自动尿中有形成份分析装置用校正物质;瓶;47ml;非医疗器械;2050-12-31;希森美康株式会社
尿液分析系统;UF系列;常温;KJ727;一次性使用尿沉渣管;一次性使用尿沉渣管;支;12ml;非医疗器械;2050-12-31;江苏康健医疗用品有限公司
尿液分析系统;干化学系列;2℃-30℃;03012557061;U2400 试条;尿液分析试纸条（干化学法）;筒;400条/盒;国食药监械(进)字2014第2403593号;2019-7-14;德国罗氏诊断有限公司
尿液分析系统;干化学系列;2℃-30℃;03012590061;U2400  校准条;尿液分析仪校准试条;筒;25条/筒;国食药监械(进)字2012第2404575号;2016-12-13;德国罗氏诊断有限公司
尿液分析系统;干化学系列;15℃-25℃;04880277190;U2400  清洁液;清洗液;瓶;2L;非医疗器械;2050-12-31;德国罗氏诊断有限公司
尿液分析系统;干化学系列;2℃-30℃;11379194263;BM 校准条;尿液分析仪校准试条;根;50条/筒;国食药监械(进)字2012第2400048号;2016-1-15;德国罗氏诊断有限公司
尿液分析系统;干化学系列;2℃-30℃;11379208173;BM 10A 试条;尿十项检测条;盒;100条/盒;国械注进20152400337;2020-1-25;德国罗氏诊断有限公司
尿液分析系统;干化学系列;1℃-30℃;ZG202001;尿液分析试纸条;尿液分析试纸条(干化学法);筒;100条/筒;国食药监械(进)字2014第2400677号;2018-1-16;ARKRAY Factory，Inc.
尿液分析系统;干化学系列;1℃-30℃;79053;化学清洗液;化学清洗液;瓶;1L;非医疗器械;2050-12-31;ARKRAY Factory，Inc.
尿液分析系统;干化学系列;1℃-30℃;ZG202002;尿液分析试纸条（10PA）;尿液分析试纸条（干化学法） AUTION Sticks 10PA;筒;100条/筒;国械注进20152401077;2020-3-30;ARKRAY Factory，Inc.
尿液分析系统;干化学系列;1℃-30℃;79053;化学清洗液;化学清洗液;瓶;1L;非医疗器械;2050-12-31;ARKRAY Factory，Inc.
尿液分析系统;干化学系列;2℃-8℃;E435;UR质控;尿质控;盒;12X12ml;国食药监械(进)字2012第2400266号;2016-1-31;Bio-Rad Laboratories,Inc.
血凝分析系统;CA系列;2℃-8℃;B4218-1;APTT;活化部分凝血活酶时间测定试剂盒（凝固法）;盒;10×2ml;国食药监械（进）字2013第2400261号;2017-1-17;Siemens Healthcare Diagnostics Products GmbH
血凝分析系统;CA系列;2℃-8℃;B4218-2;APTT;活化部分凝血活酶时间测定试剂盒（凝固法）;盒;10×10ml;国食药监械（进）字2013第2400261号;2017-1-17;Siemens Healthcare Diagnostics Products GmbH
血凝分析系统;CA系列;2℃-8℃;OUHP29;PT;凝血酶原时间测定试剂盒(凝固法);盒;10×4ml;国食药监械(进)字2013第2400683号;2017-2-6;Siemens Healthcare Diagnostics Products GmbH
血凝分析系统;CA系列;2℃-8℃;OWHM13;TT;凝血酶时间测定试剂盒(凝固法);盒;10×5ml;国食药监械(进)字2013第2400260号;2017-1-19;Siemens Healthcare Diagnostics Products GmbH
血凝分析系统;CA系列;2℃-8℃;B4233-25;Fib;纤维蛋白原测定试剂（凝固法）;盒;10×1ml;国食药监械(进)字2013第2400682号;2017-2-6;Siemens Healthcare Diagnostics Products GmbH
血凝分析系统;CA系列;2℃-8℃;B4233-27;Fib;纤维蛋白原测定试剂（凝固法）;盒;10×5ml;国食药监械(进)字2013第2400682号;2017-2-6;Siemens Healthcare Diagnostics Products GmbH
血凝分析系统;CA系列;2℃-8℃;B4234-25;CA 缓冲液;缓冲液;盒;10×15ml;国食药监械(进)字2013第2400686号;2017-12-6;Siemens Healthcare Diagnostics Products GmbH
血凝分析系统;CA系列;2℃-8℃;483783;P-FDP试剂盒;纤维蛋白/纤维蛋白原降解产物检测试剂盒(胶乳免疫比浊法);盒;2×10ml;国食药监械(进)字2012第2401296号;2016-4-8;积水医疗株式会社
血凝分析系统;CA系列;2℃-10℃;BB933775;FDP Control;纤维蛋白（原）降解产物质控品;盒;高水平：3*0.5ml；低水平：3*0.5ml;国食药监械(进)字2013第2400315号;2017-1-29;BIOLINKS CO.,LTD.
血凝分析系统;CA系列;2℃-10℃;BL342371;P-FDP Diluent;纤维蛋白（原）降解产物稀释液;盒;40ml*2;国食药监械(进)字2013第1400106号;2017-1-19;BIOLINKS CO.,LTD.
血凝分析系统;CA系列;2℃-10℃;BQ243330;latex Test BL-2 P-FDP;纤维蛋白（原）降解产物测定试剂盒（免疫比浊法）;盒;2*2*5ml;国食药监械(进)字2013第2400317号;2017-1-29;BIOLINKS CO.,LTD.
血凝分析系统;CA系列;2℃-10℃;CT682157;P-FDP Standard;纤维蛋白（原）降解产物校准品;盒;5×1ml;国食药监械(进)字2013第2400316号;2017-1-29;BIOLINKS CO.,LTD.
血凝分析系统;CA系列;2℃-10℃;487811;纤维蛋白原降解产物校准品;纤维蛋白/纤维蛋白原降解产物校准品;盒;5×0.5ml;国食药监械(进)字2011第2403652号;2015-11-23;积水医疗株式会社
血凝分析系统;CA系列;2℃-10℃;487828;纤维蛋白原降解产物质控品;纤维蛋白/纤维蛋白原降解产物质控品;套;2×1ml;国食药监械(进)字2011第2403536号;2016-5-3;积水医疗株式会社
血凝分析系统;CA系列;2℃-8℃;291070;定值质控;质控品;盒;10×1ml;国食药监械(进)字2013第2400239号;2017-1-17;Siemens Healthcare Diagnostics Products GmbH
血凝分析系统;CA系列;2℃-8℃;291071;定值质控;凝血质控品;盒;10×1ml;国食药监械(进)字2011第2403702号;2016-12-31;Siemens Healthcare Diagnostics Products GmbH
血凝分析系统;CA系列;2℃-8℃;291072;定值质控;凝血质控品;盒;10×1ml;国食药监械(进)字2011第2403361号;2015-10-24;Siemens Healthcare Diagnostics Products GmbH
血凝分析系统;CA系列;2℃-8℃;GSA-500A;CA  CLEAN;全自动血液凝固分析装置清洗液;瓶;50ml;非医疗器械;2050-12-31;希森美康株式会社
血凝分析系统;CA系列;2℃-8℃;GSZ-500A;CLEAN II;全自动血液凝固分析装置清洗液;瓶;500ml;非医疗器械;2050-12-31;希森美康株式会社
血凝分析系统;CA系列;常温;GSZ-510A;CLEAN II;全自动血液凝固测定装置用洗净液;桶;5L;非医疗器械;2050-12-31;希森美康株式会社
血凝分析系统;CA系列;2℃-8℃;OPAPO3;蛋白S活性测定试剂盒（凝固法）;蛋白S活性测定试剂盒（凝固法）;盒;蛋白SAc乏因子血浆：6*1ml蛋白S Ac Apc试剂：2-2ml；;国食药监械(进)字2013第3400245号;2017-1-19;Siemens Healthcare Diagnostics Products GmbH
血凝分析系统;CA系列;2℃-8℃;OPBP-07;D-二聚体测定试剂盒（免疫比浊法）;D-二聚体测定试剂盒（免疫比浊法）;盒;426测试/盒;国食药监械(进)字2013第2400681号;2017-2-5;Siemens Healthcare Diagnostics Products GmbH
血凝分析系统;CA系列;2℃-8℃;OPDY-03;D-二聚体质控试剂盒;D-二聚体质控试剂盒;盒;2*5*1ml;国食药监械(进)字2013第2400246号;2017-1-17;Siemens Healthcare Diagnostics Products GmbH
血凝分析系统;CA系列;2℃-25℃;ORHO37;CaCl2;氯化钙溶液;盒;10×15ml;国食药监械(进)字2013第2400240号;2017-1-17;Siemens Healthcare Diagnostics Products GmbH
血凝分析系统;CA系列;2℃-8℃;ORKE41;正常范围定值质控N;正常范围定值质控血浆;盒;10×1ml;国食药监械(进)字2012第3403827号;2016-11-1;Siemens Healthcare Diagnostics Products GmbH
血凝分析系统;CA系列;2℃-8℃;ORKL17;标准人类血浆;校准品（标准人类血浆）;支;1ml;国食药监械(进)字2013第3400254号;2017-1-19;Siemens Healthcare Diagnostics Products GmbH
血凝分析系统;CA系列;2℃-8℃;ORSM19;因子V活性测定试剂盒（凝固法）;因子V活性测定试剂盒（凝固法）;盒;8×1ml;国食药监械(进)字2013第2400256号;2017-1-19;Siemens Healthcare Diagnostics Products GmbH
血凝分析系统;CA系列;2℃-8℃;OSGR13;因子II活性测定试剂盒（凝固法）;因子II活性测定试剂盒（凝固法）;盒;3×1ml;国食药监械(进)字2013第2400255号;2017-1-19;Siemens Healthcare Diagnostics Products GmbH
血凝分析系统;CA系列;2℃-8℃;OTXV13;因子VII活性测定试剂盒（凝固法）;因子VII活性测定试剂盒（凝固法）;盒;3×1ml;国食药监械(进)字2013第2400251号;2017-1-19;Siemens Healthcare Diagnostics Products GmbH
血凝分析系统;CA系列;2℃-8℃;OTXW17;因子Ⅷ活性测定试剂盒（凝固法）;因子Ⅷ活性测定试剂盒（凝固法）;盒;8×1ml;国食药监械(进)字2013第3400250号;2017-1-19;Siemens Healthcare Diagnostics Products GmbH
血凝分析系统;CA系列;2℃-8℃;OTXX17;因子IX活性测定试剂盒（凝固法）;因子IX活性测定试剂盒（凝固法）;盒;8×1ml;国食药监械(进)字2013第3400257号;2017-1-19;Siemens Healthcare Diagnostics Products GmbH
血凝分析系统;CA系列;2℃-8℃;OUCA17;纤溶酶原活性测定试剂盒（发色底物法）;纤溶酶原活性测定试剂盒（发色底物法）;盒;3×5ml/3×2ml;国食药监械(进)字2013第2400241号;2017-1-17;Siemens Healthcare Diagnostics Products GmbH
血凝分析系统;CA系列;2℃-8℃;OUPZ17;病理定值凝血质控P;病理范围定值质控血浆;盒;10×1ml;国食药监械(进)字2013第3400244号;2017-1-19;Siemens Healthcare Diagnostics Products GmbH
血凝分析系统;CA系列;2℃-8℃;OUVV15;蛋白C活性测定试剂盒（发色底物法）;蛋白C活性测定试剂盒（发色底物法）;盒;1）蛋白C激活剂 ：3*10ml；底物试剂3*3ml；缓冲液：1*;国食药监械(进)字2013第3400249号;2017-1-19;Siemens Healthcare Diagnostics Products GmbH
血凝分析系统;CA系列;2℃-8℃;OWOA15;Berichrom PAI;纤溶酶原激活剂抑制物测定试剂盒（发色底物法）;盒;2×0.5ml/1×0.5ml/2×0.5ml;国食药监械(进)字2012第2404458号;2016-12-3;Siemens Healthcare Diagnostics Products GmbH
血凝分析系统;CA系列;2℃-8℃;OWWR15;AT III;抗凝血酶III 测定试剂盒（发色底物法）;盒;500测试/盒;国食药监械(进)字2011第2403704号;2016-6-8;Siemens Healthcare Diagnostics Products GmbH
血凝分析系统;CA系列;常温;SU-40;CA  反应杯;全自动血液凝固分析装置用反应杯;盒;3000pcs;非医疗器械;2050-12-31;希森美康株式会社
血凝分析系统;CA系列;常温;SUC-400A;CS-2000i反应杯;全自动血液凝固分析装置用反应杯;盒;3000pcs;非医疗器械;2050-12-31;希森美康株式会社
血凝分析系统;CA系列;常温;010;CA 反应杯;CA反应杯（国产）;袋;2000pcs;非医疗器械;2050-12-31;浙江柏美特医用塑料有限公司
NPT系列;COBAS b 221;2℃-30℃;03260917184;S1 冲洗液;OMNI S 冲洗液S1;盒;1850ml×2;非医疗器械;2050-12-31;德国罗氏诊断有限公司
NPT系列;COBAS b 221;2℃-30℃;03260925184;S2 试剂包;血气检测试剂包S2 Fluid Pack;盒;20/30/50/100/100/650/1000ml;国食药监械(进)字2014第2404255号;2019-8-31;德国罗氏诊断有限公司
NPT系列;COBAS b 221;2℃-25℃;03260933184;S3试剂包;生化模块定标液 S3 Fluid Pack A;盒;50/50/100/120/200/1250ml;国食药监械(进)字2014第2404260号;2019-8-31;德国罗氏诊断有限公司
NPT系列;COBAS b 221;2℃-8℃;03321193001;BP9097/多参数分析质控品;血气、电解质和生化分析用多项质控品;盒;30×1.7ml;国械注进20152401553;2020-5-18;德国罗氏诊断有限公司
NPT系列;COBAS b 221;2℃-8℃;03321207001;BP9098/多参数分析质控液;血气、电解质和生化分析用多项质控品2;盒;30×1.7ml;国械注进20152401552;2020-5-18;德国罗氏诊断有限公司
NPT系列;COBAS b 221;2℃-8℃;03321215001;BP9099/多参数分析质控品;血气、电解质和生化分析用多项质控品;盒;30×1.7ml;国械注进20152401554;2020-5-18;德国罗氏诊断有限公司
NPT系列;COBAS b 221;常温;03144054001;BP2663 废液瓶;废液瓶;盒;2/盒;非医疗器械;2050-12-31;德国罗氏诊断有限公司
NPT系列;COBAS b 221;15℃-30℃;03113477180;MC0024/抗凝毛细管;毛细管;盒;4×250ul;非医疗器械;2050-12-31;德国罗氏诊断有限公司
NPT系列;COBAS b 221;15℃-30℃;03110435180;BP0521/去蛋白液;去蛋白液;瓶;125ml;非医疗器械;2050-12-31;德国罗氏诊断有限公司
NPT系列;COBAS b 221;15℃-30℃;03110923035;BP1360/HB定标液;血气血红蛋白模块检测用校准品;盒;5×1.2ml;国食药监械(进)字2012第2403541号;2016-9-28;德国罗氏诊断有限公司
NPT系列;COBAS b 221;15℃-30℃;03066762001;BP1938/安剖吸引器;安瓿适配器;盒;150‘S;非医疗器械;2050-12-31;德国罗氏诊断有限公司
NPT系列;COBAS b 221;0℃-30℃;03111873180;BP2081A/参比电极;参比电极;支;1‘S;国食药监械(进)字2013第2403412号;2017-8-21;德国罗氏诊断有限公司
NPT系列;COBAS b 221;0℃-30℃;03111571180;BP1729A/氯电极;氯电极;支;1‘S;国食药监械(进)字2013第2403409号;2017-8-21;德国罗氏诊断有限公司
NPT系列;COBAS b 221;0℃-30℃;03111598180;BP1730A/免保养钠电极;钠电极;支;1‘S;国食药监械(进)字2013第2403413号;2017-8-21;德国罗氏诊断有限公司
NPT系列;COBAS b 221;0℃-30℃;03111628180;BP1731A/免保养钾电极;钾电极;支;1‘S;国食药监械(进)字2013第2403411号;2017-8-21;德国罗氏诊断有限公司
NPT系列;COBAS b 221;0℃-30℃;03111644180;BP1732A/免保养钙电极;钙电极;支;1‘S;国食药监械(进)字2013第2403414号;2017-8-21;德国罗氏诊断有限公司
NPT系列;COBAS b 221;0℃-30℃;03111679180;BP1733A/二氧化碳电极;二氧化碳分压电极;支;1‘S;国食药监械(进)字2013第2403415号;2017-8-21;德国罗氏诊断有限公司
NPT系列;COBAS b 221;0℃-30℃;03111695180;BP1734A/氧电极;氧分压电极;支;1‘S;国食药监械(进)字2013第2403410号;2017-8-21;德国罗氏诊断有限公司
NPT系列;COBAS b 221;0℃-30℃;03111717180;BP1735A/PH电极;pH电极;支;1‘S;国食药监械(进)字2013第2403416号;2017-8-21;德国罗氏诊断有限公司
NPT系列;COBAS b 121;2℃-30℃;03144046001;BP2661/C1定标液;血气、电解质检测用校准品;盒;2×1750ml;国食药监（进）字2014第2404258号;2019-8-31;德国罗氏诊断有限公司
NPT系列;COBAS b 121;2℃-30℃;03144020001;BP2662/C2定标液;血气、电解质检测用校准品;盒;2×1200ml;国食药监械（进）字2014第2404259号;2019-8-31;德国罗氏诊断有限公司
NPT系列;COBAS b 121;2℃-30℃;03144038001;BP2655/C3试剂包;血气、电解质检测用试剂包;盒;25/30/50/200ml;国食药监械（进）字2014第2404256号;2019-8-31;德国罗氏诊断有限公司
NPT系列;COBAS b 121;常温;03144054001;BP2663 废液瓶;废液瓶;盒;2/盒;非医疗器械;2050-12-31;德国罗氏诊断有限公司
NPT系列;COBAS b 121;15℃-30℃;03113477180;MC0024/抗凝毛细管;毛细管;盒;4×250ul;非医疗器械;2050-12-31;德国罗氏诊断有限公司
NPT系列;COBAS b 121;15℃-30℃;03110435180;BP0521/去蛋白液;去蛋白液;瓶;125ml;非医疗器械;2050-12-31;德国罗氏诊断有限公司
NPT系列;COBAS b 121;15℃-30℃;03110923035;BP1360/HB定标液;血气血红蛋白模块检测用校准品;盒;5×1.2ml;国食药监械(进)字2012第2403541号;2016-9-28;德国罗氏诊断有限公司
NPT系列;COBAS b 121;15℃-30℃;03066762001;BP1938/安剖吸引器;安瓿适配器;盒;150‘S;非医疗器械;2050-12-31;德国罗氏诊断有限公司
NPT系列;COBAS b 121;0℃-30℃;05772583001;微量采血器;微量采血器;盒;50支/盒;国食药监械(进)字2013第3411447号;2017-4-9;德国罗氏诊断有限公司
NPT系列;COBAS b 121;0℃-30℃;03111873180;BP2081A/参比电极;参比电极;支;1‘S;国食药监械(进)字2013第2403412号;2017-8-21;德国罗氏诊断有限公司
